Team,R32,R16,Qtr,Semi,Final,Champ 🏆,3rd,,,,,,,,Cost,Owner
ARG,98.99449921,73.718,61.4775,45.361,29.94,18.612,10.406,,1592.3088,2655.828,3556.3024,3281.424,3499.056,14584.9192,82.63,CG
ESP,99.2519989,75.589,57.024,44.114,28.9345,17.3715,9.854,,1632.7224,2463.4368,3458.5376,3171.2212,3265.842,13991.76,79.27,JL
FRA,95.66850281,75.577,49.879,35.2705,20.3905,11.4175,9.2335,,1632.4632,2154.7728,2765.2072,2234.7988,2146.49,10933.732,61.95,BB
ENG,98.16549683,77.2475,48.335,30.941,17.6855,9.983,8.3015,,1668.546,2088.072,2425.7744,1938.3308,1876.804,9997.5272,56.64,MS
GER,97.88349915,70.0145,38.115,25.7365,13.3645,6.6765,6.9255,,1512.3132,1646.568,2017.7416,1464.7492,1255.182,7896.554,44.74,SS
BRA,96.95149994,70.227,44.8295,25.9095,13.088,6.6115,7.367,,1516.9032,1936.6344,2031.3048,1434.4448,1242.962,8162.2492,46.25,WB
POR,94.89649963,67.522,39.3525,20.177,10.3375,4.8395,5.131,,1458.4752,1700.028,1581.8768,1132.99,909.826,6783.196,38.43,CM
NOR,90.36199951,59.76,33.211,19.605,9.2435,4.1625,5.2365,,1290.816,1434.7152,1537.032,1013.0876,782.55,6058.2008,34.32,RR
COL,94.01450348,64.386,35.7225,18.153,9.062,4.112,4.6415,,1390.7376,1543.212,1423.1952,993.1952,773.056,6123.396,34.69,RR
NED,93.23449707,51.323,33.6235,14.377,6.076,2.4245,3.786,,1108.5768,1452.5352,1127.1568,665.9296,455.806,4810.0044,27.25,CM
TUR,85.67699432,60.6235,30.6025,12.124,5.1985,1.957,3.0675,,1309.4676,1322.028,950.5216,569.7556,367.916,4519.6888,25.61,WB
ECU,92.70449829,48.8245,21.664,11.3175,4.5735,1.809,3,,1054.6092,935.8848,887.292,501.2556,340.092,3719.1336,21.07,SS
BEL,96.27999878,65.816,31.311,10.438,4.0865,1.4305,2.556,,1421.6256,1352.6352,818.3392,447.8804,268.934,4309.4144,24.42,MS
URU,92.97200012,36.4945,19.9425,9.8875,4.025,1.3635,2.4615,,788.2812,861.516,775.18,441.14,256.338,3122.4552,17.69,BB
USA,79.52500153,51.4535,22.4615,8.457,3.3035,1.115,2.122,,1111.3956,970.3368,663.0288,362.0636,209.62,3316.4448,18.79,JL
SUI,95.60649872,66.3905,27.8615,8.727,3.158,1.093,2.178,,1434.0348,1203.6168,684.1968,346.1168,205.484,3873.4492,21.95,CG
MEX,97.18099976,73.7525,38.963,12.0635,3.505,1.046,2.9675,,1593.054,1683.2016,945.7784,384.148,196.648,4802.83,27.21,BB
CRO,86.65650177,40.029,14.176,5.884,2.068,0.683,1.416,,864.6264,612.4032,461.3056,226.6528,128.404,2293.392,12.99,MS
SEN,74.83850098,34.591,14.7215,5.984,2.0675,0.663,1.5285,,747.1656,635.9688,469.1456,226.598,124.644,2203.522,12.48,RR
JPN,84.42599487,33.3115,17.0275,5.886,1.96,0.617,1.5095,,719.5284,735.588,461.4624,214.816,115.996,2247.3908,12.73,CG
CAN,94.84099579,61.046,24.465,6.132,1.8115,0.4985,1.379,,1318.5936,1056.888,480.7488,198.5404,93.718,3148.4888,17.84,CM
PAR,68.13949585,36.931,13.118,4.2305,1.3405,0.4005,1.0075,,797.7096,566.6976,331.6712,146.9188,75.294,1918.2912,10.87,SS
MAR,79.06150055,30.659,13.5715,4.367,1.358,0.3815,1.0495,,662.2344,586.2888,342.3728,148.8368,71.722,1811.4548,10.26,JL
AUT,76.31150055,19.4575,7.5235,2.5405,0.7445,0.1905,0.559,,420.282,325.0152,199.1752,81.5972,35.814,1061.8836,6.02,WB
SCO,71.91049957,22.493,8.6185,2.294,0.6055,0.139,0.5155,,485.8488,372.3192,179.8496,66.3628,26.132,1130.5124,6.41,WB
ALG,63.7974968,13.902,4.426,1.164,0.274,0.065,0.2205,,300.2832,191.2032,91.2576,30.0304,12.22,624.9944,3.54,JL
SWE,63.65950012,14.458,5.0415,1.214,0.276,0.0565,0.2365,,312.2928,217.7928,95.1776,30.2496,10.622,666.1348,3.77,SS
CZE,66.88999939,27.443,7.0975,1.2795,0.285,0.0525,0.236,,592.7688,306.612,100.3128,31.236,9.87,1040.7996,5.90,CM
KOR,66.21800232,26.4275,6.7115,1.1935,0.2445,0.045,0.22,,570.834,289.9368,93.5704,26.7972,8.46,989.5984,5.61,CG
CIV,66.86100006,16.1185,3.8055,0.921,0.196,0.0395,0.1755,,348.1596,164.3976,72.2064,21.4816,7.426,613.6712,3.48,RR
EGY,74.72650146,23.782,4.8975,0.926,0.203,0.039,0.154,,513.6912,211.572,72.5984,22.2488,7.332,827.4424,4.69,MS
AUS,39.36449814,14.604,3.285,0.7095,0.1465,0.0275,0.139,,315.4464,141.912,55.6248,16.0564,5.17,534.2096,3.03,BB
PAN,54.19049835,12.1745,2.728,0.598,0.1155,0.025,0.1095,,262.9692,117.8496,46.8832,12.6588,4.7,445.0608,2.52,CM
IRN,65.67150116,17.2905,2.9975,0.4685,0.0935,0.0135,0.075,,373.4748,129.492,36.7304,10.2476,2.538,552.4828,3.13,WB
COD,40.75749969,8.2325,1.5935,0.3175,0.06,0.0125,0.0495,,177.822,68.8392,24.892,6.576,2.35,280.4792,1.59,BB
BIH,67.95300293,18.067,3.752,0.4525,0.0655,0.01,0.0675,,390.2472,162.0864,35.476,7.1788,1.88,596.8684,3.38,JL
UZB,33.73400116,6.057,1.0355,0.185,0.0335,0.006,0.0295,,130.8312,44.7336,14.504,3.6716,1.128,194.8684,1.10,CG
TUN,28.18300056,3.367,0.671,0.112,0.018,0.004,0.017,,72.7272,28.9872,8.7808,1.9728,0.752,113.22,0.64,SS
RSA,35.7820015,8.954,1.47,0.1685,0.0255,0.003,0.024,,193.4064,63.504,13.2104,2.7948,0.564,273.4796,1.55,MS
CPV,29.34049988,2.9405,0.3815,0.043,0.005,0.001,0.0065,,63.5148,16.4808,3.3712,0.548,0.188,84.1028,0.48,RR
JOR,23.47299957,2.664,0.425,0.057,0.009,0.0005,0.0115,,57.5424,18.36,4.4688,0.9864,0.094,81.4516,0.46,RR
GHA,24.00099945,2.9155,0.408,0.0545,0.008,0.0005,0.0085,,62.9748,17.6256,4.2728,0.8768,0.094,85.844,0.49,MS
HAI,22.05049896,2.609,0.4605,0.0455,0.005,0.0005,0.0075,,56.3544,19.8936,3.5672,0.548,0.094,80.4572,0.46,SS
KSA,30.35100174,3.064,0.385,0.0385,0.003,0.0005,0.005,,66.1824,16.632,3.0184,0.3288,0.094,86.2556,0.49,CG
IRQ,12.30150032,1.8595,0.2865,0.0365,0.0015,0.0005,0.0045,,40.1652,12.3768,2.8616,0.1644,0.094,55.662,0.32,JL
NZL,30.58349991,3.893,0.3865,0.0295,0.003,0,0.0035,,84.0888,16.6968,2.3128,0.3288,0,103.4272,0.59,BB
CUW,11.51249981,0.8325,0.0735,0.005,0.0015,0,0,,17.982,3.1752,0.392,0.1644,0,21.7136,0.12,WB
QAT,13.04399967,1.1075,0.0845,0.004,0,0,0,,23.922,3.6504,0.3136,0,0,27.886,0.16,CM
